about,address,area_service,booking_appointment_link,business_status,category,cid,city,country,country_code,county,description,google_id,h3,kgmid,latitude,located_google_id,located_in,location_link,location_reviews_link,logo,longitude,menu_link,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,photo,photos_count,place_id,plus_code,popular_times,postal_code,posts,prices,query,range,rating,reservation_links,reviews,reviews_id,reviews_link,reviews_per_score,reviews_tags,state,state_code,street,street_view,subtypes,time_zone,type,typical_time_spent,verified,website,working_hours,working_hours_csv_compatible,rejection_reason
{},"50 Main St #3205, Kingston, NY 12402",False,,OPERATIONAL,,4647224635748062418,Kingston,United States of America,US,,,0x89dd0fa74f352219:0x407e422f253514d2,892a16871b7ffff,/g/12634m53y,41.9323783,,,"https://www.google.com/maps/place/K%2FW+Cross+Connection+Control/@41.932378299999996,-74.01858229999999,14z/data=!4m8!1m2!2m1!1sK%2FW+Cross+Connection+Control!3m4!1s0x89dd0fa74f352219:0x407e422f253514d2!8m2!3d41.932378299999996!4d-74.01858229999999","https://www.google.com/maps/place/K%2FW+Cross+Connection+Control/@41.932378299999996,-74.01858229999999,13.99z/data=!4m16!1m7!3m6!1s0x89dd0fa74f352219:0x407e422f253514d2!2sK%2FW+Cross+Connection+Control!8m2!3d41.932378299999996!4d-74.01858229999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89dd0fa74f352219:0x407e422f253514d2!8m2!3d41.932378299999996!4d-74.01858229999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-74.01858229999999,,K/W Cross Connection Control,K/W Cross Connection Control,,,,,K/W Cross Connection Control,+1 845-338-0963,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1I71K7Uj1CmB_cCOV01bJg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=163.22311&pitch=0&thumbfov=100,1.0,ChIJGSI1T6cP3YkR0hQ1JS9CfkA,,,12402.0,,,cross connection control New York NY USA,,,,,,,,,New York,NY,50 Main St #3205,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1I71K7Uj1CmB_cCOV01bJg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=163.22311&pitch=0&thumbfov=100,Plumber,America/New_York,Plumber,,False,https://kwcrossconnectioncontrol.com,,,LOW_QUALITY
{},"96-04 57th Ave #10C, Corona, NY 11368",False,,OPERATIONAL,,1788787521591128716,Corona,United States of America,US,Corona,,0x89c25fbf7535106b:0x18d30cc60317328c,892a100c423ffff,/g/11jgclx_vk,40.736041,,,"https://www.google.com/maps/place/CROSS+CONNECTION+PREVENTION/@40.736041,-73.8648535,14z/data=!4m8!1m2!2m1!1sCROSS+CONNECTION+PREVENTION!3m4!1s0x89c25fbf7535106b:0x18d30cc60317328c!8m2!3d40.736041!4d-73.8648535","https://www.google.com/maps/place/CROSS+CONNECTION+PREVENTION/@40.736041,-73.8648535,13.99z/data=!4m16!1m7!3m6!1s0x89c25fbf7535106b:0x18d30cc60317328c!2sCROSS+CONNECTION+PREVENTION!8m2!3d40.736041!4d-73.8648535!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c25fbf7535106b:0x18d30cc60317328c!8m2!3d40.736041!4d-73.8648535!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-61Ud1c1_8Ao/AAAAAAAAAAI/AAAAAAAAAAA/u8a7Qa4RN3s/s44-p-k-no-ns-nd/photo.jpg,-73.8648535,,CROSS CONNECTION PREVENTION,Cross Connection Prevention,,,105459871830036271728,https://www.google.com/maps/contrib/105459871830036271728,CROSS CONNECTION PREVENTION,+1 917-832-7815,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s3eyjJzRGE6iuEPmXe5Itw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=94.97393&pitch=0&thumbfov=100,1.0,ChIJaxA1db9fwokRjDIXA8YM0xg,,,11368.0,,,cross connection control New York NY USA,,,,,,,,,New York,NY,96-04 57th Ave #10C,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s3eyjJzRGE6iuEPmXe5Itw&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=94.97393&pitch=0&thumbfov=100,Plumber,America/New_York,Plumber,,True,,{'Monday': ['5:30-10:30PM']},"Monday,5:30,10:30PM",LOW_QUALITY
"{'Offerings': {'Repair services': True}, 'Service options': {'Language assistance': 'English', 'Online estimates': True, 'Onsite services': True}}","1177 6th Ave 5th floor, New York, NY 10036",False,,OPERATIONAL,Plumber,10033414847995027807,New York,United States of America,US,Manhattan,,0x89c258ff875158e5:0x8b3dd9a51adfa15f,892a100d67bffff,/g/11f08kr5rl,40.7572538,,,"https://www.google.com/maps/place/The+Pump+Guys+Pump+%26+Motor+Specialist/@40.7572538,-73.9828582,14z/data=!4m8!1m2!2m1!1sThe+Pump+Guys+Pump+%26+Motor+Specialist!3m4!1s0x89c258ff875158e5:0x8b3dd9a51adfa15f!8m2!3d40.7572538!4d-73.9828582","https://www.google.com/maps/place/The+Pump+Guys+Pump+%26+Motor+Specialist/@40.7572538,-73.9828582,13.99z/data=!4m16!1m7!3m6!1s0x89c258ff875158e5:0x8b3dd9a51adfa15f!2sThe+Pump+Guys+Pump+%26+Motor+Specialist!8m2!3d40.7572538!4d-73.9828582!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c258ff875158e5:0x8b3dd9a51adfa15f!8m2!3d40.7572538!4d-73.9828582!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-T-RnmmsAYDA/AAAAAAAAAAI/AAAAAAAAAAA/1ZKt9YWEa9E/s44-p-k-no-ns-nd/photo.jpg,-73.9828582,,The Pump Guys Pump & Motor Specialist,The Pump Guys Pump And Motor Specialist,,,108322794301978983054,https://www.google.com/maps/contrib/108322794301978983054,The Pump Guys Pump & Motor Specialist,+1 212-239-1094,https://lh3.googleusercontent.com/p/AF1QipP8thqX0kn81T0H183wN8xrMphkVee-Ib9wBksz=w800-h500-k-no,734.0,ChIJ5VhRh_9YwokRX6HfGqXZPYs,,,10036.0,,,backflow repair New York NY USA,,5.0,,90.0,-8.413329225714524e+18,https://search.google.com/local/reviews?placeid=ChIJ5VhRh_9YwokRX6HfGqXZPYs&q=*&authuser=0&hl=en&gl=US,"{'1': 1, '2': 0, '3': 0, '4': 0, '5': 89}",,New York,NY,1177 6th Ave 5th floor,https://lh3.googleusercontent.com/p/AF1QipP8thqX0kn81T0H183wN8xrMphkVee-Ib9wBksz=w1600-h1000-k-no,"Plumber, Electric motor store, Pump supplier",America/New_York,Plumber,,True,https://thepumpguys.solutions,"{'Friday': ['Open 24 hours'], 'Monday': ['Open 24 hours'], 'Saturday': ['Open 24 hours'], 'Sunday': ['Open 24 hours'], 'Thursday': ['Open 24 hours'], 'Tuesday': ['Open 24 hours'], 'Wednesday': ['Open 24 hours']}",,NOT_RELEVANT
{'Offerings': {'Repair services': True}},"76-46 Park Ln S, Woodhaven, NY 11421",False,,OPERATIONAL,Plumber,7438377526692822701,Woodhaven,United States of America,US,Woodhaven,,0x89c25de09f2b5353:0x673a6cf347c63ead,892a100cc5bffff,/g/11fk0bjn6q,40.695189899999995,,,"https://www.google.com/maps/place/Precision+Backflow+Testing/@40.695189899999995,-73.865062,14z/data=!4m8!1m2!2m1!1sPrecision+Backflow+Testing!3m4!1s0x89c25de09f2b5353:0x673a6cf347c63ead!8m2!3d40.695189899999995!4d-73.865062","https://www.google.com/maps/place/Precision+Backflow+Testing/@40.695189899999995,-73.865062,13.99z/data=!4m16!1m7!3m6!1s0x89c25de09f2b5353:0x673a6cf347c63ead!2sPrecision+Backflow+Testing!8m2!3d40.695189899999995!4d-73.865062!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c25de09f2b5353:0x673a6cf347c63ead!8m2!3d40.695189899999995!4d-73.865062!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-73.865062,,Precision Backflow Testing,Precision Backflow Testing,,,,,Precision Backflow Testing,+1 914-584-7590,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PKDWTDLX-xFn9PODHARkNg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=153.46118&pitch=0&thumbfov=100,2.0,ChIJU1Mrn-BdwokRrT7GR_NsOmc,,,11421.0,,,backflow repair New York NY USA,,5.0,,1.0,7.438377526692823e+18,https://search.google.com/local/reviews?placeid=ChIJU1Mrn-BdwokRrT7GR_NsOmc&q=*&authuser=0&hl=en&gl=US,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1}",,New York,NY,76-46 Park Ln S,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PKDWTDLX-xFn9PODHARkNg&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=153.46118&pitch=0&thumbfov=100,Plumber,America/New_York,Plumber,,False,,,,LOW_QUALITY
"{'Crowd': {'LGBTQ+ friendly': True, 'Transgender safespace': True}, 'Offerings': {'Repair services': True}, 'Other': {'LGBTQ+ friendly': True}, 'Payments': {'Credit cards': True}, 'Service options': {'Language assistance': 'English, Haitian Creole, Spanish', 'Online estimates': True, 'Onsite services': True}}","2600 Atlantic Ave, Brooklyn, NY 11207",False,,OPERATIONAL,Plumber,13685452058068270446,Brooklyn,United States of America,US,Cypress Hills,,0x89c25c4fb1120373:0xbdec7e235fcc3d6e,892a100cacfffff,/g/1wz53mm9,40.6754396,,,"https://www.google.com/maps/place/Harris+Water+Main+%26+Sewer+Contractors/@40.6754396,-73.89811379999999,14z/data=!4m8!1m2!2m1!1sHarris+Water+Main+%26+Sewer+Contractors!3m4!1s0x89c25c4fb1120373:0xbdec7e235fcc3d6e!8m2!3d40.6754396!4d-73.89811379999999","https://www.google.com/maps/place/Harris+Water+Main+%26+Sewer+Contractors/@40.6754396,-73.89811379999999,13.99z/data=!4m16!1m7!3m6!1s0x89c25c4fb1120373:0xbdec7e235fcc3d6e!2sHarris+Water+Main+%26+Sewer+Contractors!8m2!3d40.6754396!4d-73.89811379999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c25c4fb1120373:0xbdec7e235fcc3d6e!8m2!3d40.6754396!4d-73.89811379999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-k-1hVU071Kk/AAAAAAAAAAI/AAAAAAAAAAA/mp25zw3NVRc/s44-p-k-no-ns-nd/photo.jpg,-73.89811379999999,,Harris Water Main & Sewer Contractors,Harris Water Main And Sewer Contractors,,,116889593427299216929,https://www.google.com/maps/contrib/116889593427299216929,Harris Water Main & Sewer Contractors,+1 718-495-3600,https://lh3.googleusercontent.com/p/AF1QipP2ys5qfbOJPfCUC94MysvGEXKsSgltnPiN4E-I=w800-h500-k-no,400.0,ChIJcwMSsU9cwokRbj3MXyN-7L0,,,11207.0,,,backflow repair New York NY USA,,4.9,,320.0,-4.761292015641282e+18,https://search.google.com/local/reviews?placeid=ChIJcwMSsU9cwokRbj3MXyN-7L0&q=*&authuser=0&hl=en&gl=US,"{'1': 3, '2': 1, '3': 4, '4': 14, '5': 298}",,New York,NY,2600 Atlantic Ave,https://lh3.googleusercontent.com/p/AF1QipP2ys5qfbOJPfCUC94MysvGEXKsSgltnPiN4E-I=w1600-h1000-k-no,"Plumber, Contractor",America/New_York,Plumber,,True,https://harriswatermainandsewers.com,"{'Friday': ['4AM-9PM'], 'Monday': ['4AM-9PM'], 'Saturday': ['9AM-7:30PM'], 'Sunday': ['9AM-5PM'], 'Thursday': ['4AM-9PM'], 'Tuesday': ['4AM-9PM'], 'Wednesday': ['4AM-9PM']}","Sunday,9AM,5PM|Monday,4AM,9PM|Tuesday,4AM,9PM|Wednesday,4AM,9PM|Thursday,4AM,9PM|Friday,4AM,9PM|Saturday,9AM,7:30PM",NOT_RELEVANT
"{'Offerings': {'Repair services': True}, 'Payments': {'Credit cards': True}, 'Service options': {'Language assistance': 'English, Italian, Russian, Spanish, Ukrainian', 'Online estimates': False}}","2114 E 27th St, Brooklyn, NY 11229",False,https://book.servicetitan.com/lqwg6iz7m8o38l1274e2wa8n?rwg_token=AFd1xnELoWUFezvX4DbJwS1zSzydVmme3nwaoJEWLAnw8js6ffYtegZJXg_pjrpf4TPb7heK5Mnk-1D9xw1UcnF7-VqmuVySEA%3D%3D,OPERATIONAL,Plumber,14111519656586589630,Brooklyn,United States of America,US,Sheepshead Bay,,0x89c244851db40423:0xc3d6305c93c935be,892a1074583ffff,/g/1ptwc6jhr,40.599686,,,"https://www.google.com/maps/place/A+Good+Plumber+Corp./@40.599686,-73.9449024,14z/data=!4m8!1m2!2m1!1sA+Good+Plumber+Corp.!3m4!1s0x89c244851db40423:0xc3d6305c93c935be!8m2!3d40.599686!4d-73.9449024","https://www.google.com/maps/place/A+Good+Plumber+Corp./@40.599686,-73.9449024,13.99z/data=!4m16!1m7!3m6!1s0x89c244851db40423:0xc3d6305c93c935be!2sA+Good+Plumber+Corp.!8m2!3d40.599686!4d-73.9449024!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c244851db40423:0xc3d6305c93c935be!8m2!3d40.599686!4d-73.9449024!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-Rv77QJULPCY/AAAAAAAAAAI/AAAAAAAAAAA/Hma7DAIbRq8/s44-p-k-no-ns-nd/photo.jpg,-73.9449024,,A Good Plumber Corp.,A Good Plumber,['https://book.servicetitan.com/lqwg6iz7m8o38l1274e2wa8n?rwg_token=AFd1xnELoWUFezvX4DbJwS1zSzydVmme3nwaoJEWLAnw8js6ffYtegZJXg_pjrpf4TPb7heK5Mnk-1D9xw1UcnF7-VqmuVySEA%3D%3D'],,102803095608765541362,https://www.google.com/maps/contrib/102803095608765541362,A Good Plumber Corp.,+1 718-648-6838,https://lh3.googleusercontent.com/p/AF1QipMIhHD5ctWJGb0NpsnfAFNTWlRUCszDvhRsELC2=w800-h500-k-no,118.0,ChIJIwS0HYVEwokRvjXJk1ww1sM,,,11229.0,,,backflow repair New York NY USA,,4.8,,605.0,-4.335224417122962e+18,https://search.google.com/local/reviews?placeid=ChIJIwS0HYVEwokRvjXJk1ww1sM&q=*&authuser=0&hl=en&gl=US,"{'1': 25, '2': 2, '3': 1, '4': 19, '5': 558}",,New York,NY,2114 E 27th St,https://lh3.googleusercontent.com/p/AF1QipMIhHD5ctWJGb0NpsnfAFNTWlRUCszDvhRsELC2=w1600-h1000-k-no,"Plumber, Gas installation service, Heating contractor",America/New_York,Plumber,,True,https://agoodplumber.com,"{'Friday': ['8:30AM-5PM'], 'Monday': ['8:30AM-5PM'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['8:30AM-5PM'], 'Tuesday': ['8:30AM-5PM'], 'Wednesday': ['8:30AM-5PM']}","Monday,8:30AM,5PM|Tuesday,8:30AM,5PM|Wednesday,8:30AM,5PM|Thursday,8:30AM,5PM|Friday,8:30AM,5PM",NOT_RELEVANT
"{'Offerings': {'Repair services': True}, 'Payments': {'Credit cards': True}, 'Service options': {'Language assistance': 'English, Italian, Spanish', 'Online estimates': True, 'Onsite services': True}}","430 Jefferson St, Brooklyn, NY 11237",False,https://abovebeyondplumbing.com/contact-us/,OPERATIONAL,Plumber,8734320579727817671,Brooklyn,United States of America,US,Bushwick,,0x89c25ea7f6acf1ef:0x79368a4a750f7bc7,892a100dc17ffff,/g/11gfgmf1yr,40.7072491,,,"https://www.google.com/maps/place/Above+and+Beyond+Plumbing+%26+Heating+Corp./@40.7072491,-73.9230111,14z/data=!4m8!1m2!2m1!1sAbove+and+Beyond+Plumbing+%26+Heating+Corp.!3m4!1s0x89c25ea7f6acf1ef:0x79368a4a750f7bc7!8m2!3d40.7072491!4d-73.9230111","https://www.google.com/maps/place/Above+and+Beyond+Plumbing+%26+Heating+Corp./@40.7072491,-73.9230111,13.99z/data=!4m16!1m7!3m6!1s0x89c25ea7f6acf1ef:0x79368a4a750f7bc7!2sAbove+and+Beyond+Plumbing+%26+Heating+Corp.!8m2!3d40.7072491!4d-73.9230111!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c25ea7f6acf1ef:0x79368a4a750f7bc7!8m2!3d40.7072491!4d-73.9230111!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-dxZR7goTVA4/AAAAAAAAAAI/AAAAAAAAAAA/BJN5OAwjusc/s44-p-k-no-ns-nd/photo.jpg,-73.9230111,,Above and Beyond Plumbing & Heating Corp.,Above And Beyond Plumbing And Heating,['https://abovebeyondplumbing.com/contact-us/'],,116304738373457511273,https://www.google.com/maps/contrib/116304738373457511273,Above and Beyond Plumbing & Heating Corp.,+1 718-484-4911,https://lh3.googleusercontent.com/p/AF1QipOuhXTFypQaFl5cmV8Wqykx5zQTEFcoBrGnz9U=w800-h500-k-no,150.0,ChIJ7_Gs9qdewokRx3sPdUqKNnk,,,11237.0,,,backflow repair New York NY USA,,4.8,,169.0,8.734320579727818e+18,https://search.google.com/local/reviews?placeid=ChIJ7_Gs9qdewokRx3sPdUqKNnk&q=*&authuser=0&hl=en&gl=US,"{'1': 9, '2': 0, '3': 1, '4': 2, '5': 157}",,New York,NY,430 Jefferson St,https://lh3.googleusercontent.com/p/AF1QipOuhXTFypQaFl5cmV8Wqykx5zQTEFcoBrGnz9U=w1600-h1000-k-no,"Plumber, Heating contractor",America/New_York,Plumber,,True,https://abovebeyondplumbing.com,"{'Friday': ['Open 24 hours'], 'Monday': ['Open 24 hours'], 'Saturday': ['Open 24 hours'], 'Sunday': ['Open 24 hours'], 'Thursday': ['Open 24 hours'], 'Tuesday': ['Open 24 hours'], 'Wednesday': ['Open 24 hours']}",,NOT_RELEVANT
"{'Offerings': {'Repair services': True}, 'Payments': {'Credit cards': True, 'NFC mobile payments': True}, 'Service options': {'Language assistance': 'Spanish', 'Online estimates': False, 'Onsite services': True}}","414 Bainbridge St., Brooklyn, NY 11233",False,http://www.philconyc.com/,OPERATIONAL,Plumber,15465940737659510902,Brooklyn,United States of America,US,Bedford-Stuyvesant,,0x89c24afabad32a7b:0xd6a20f28a9702076,892a100dd63ffff,/g/1tlbq1f5,40.6819588,,,"https://www.google.com/maps/place/Philco+Plumbing+and+Heating/@40.6819588,-73.92035469999999,14z/data=!4m8!1m2!2m1!1sPhilco+Plumbing+and+Heating!3m4!1s0x89c24afabad32a7b:0xd6a20f28a9702076!8m2!3d40.6819588!4d-73.92035469999999","https://www.google.com/maps/place/Philco+Plumbing+and+Heating/@40.6819588,-73.92035469999999,13.99z/data=!4m16!1m7!3m6!1s0x89c24afabad32a7b:0xd6a20f28a9702076!2sPhilco+Plumbing+and+Heating!8m2!3d40.6819588!4d-73.92035469999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c24afabad32a7b:0xd6a20f28a9702076!8m2!3d40.6819588!4d-73.92035469999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-AW2m2gvbRlI/AAAAAAAAAAI/AAAAAAAAAAA/mxXpEH3KOl0/s44-p-k-no-ns-nd/photo.jpg,-73.92035469999999,,Philco Plumbing and Heating,Philco Plumbing And Heating,['http://www.philconyc.com/'],,116511733306362707807,https://www.google.com/maps/contrib/116511733306362707807,Philco Plumbing and Heating,+1 718-605-0450,https://lh3.googleusercontent.com/p/AF1QipPtnFQ9JeGgwP_hy2nch380BlmrUkXuX_8wv8mj=w800-h500-k-no,89.0,ChIJeyrTuvpKwokRdiBwqSgPotY,,,11233.0,,,backflow repair New York NY USA,,4.8,,393.0,-2.980803336050041e+18,https://search.google.com/local/reviews?placeid=ChIJeyrTuvpKwokRdiBwqSgPotY&q=*&authuser=0&hl=en&gl=US,"{'1': 14, '2': 3, '3': 1, '4': 5, '5': 370}",,New York,NY,414 Bainbridge St.,https://lh3.googleusercontent.com/p/AF1QipPtnFQ9JeGgwP_hy2nch380BlmrUkXuX_8wv8mj=w1600-h1000-k-no,"Plumber, Heating contractor",America/New_York,Plumber,,True,https://philconyc.com,"{'Friday': ['6AM-8PM'], 'Monday': ['6AM-8PM'], 'Saturday': ['6AM-8PM'], 'Sunday': ['Closed'], 'Thursday': ['6AM-8PM'], 'Tuesday': ['6AM-8PM'], 'Wednesday': ['6AM-8PM']}","Monday,6AM,8PM|Tuesday,6AM,8PM|Wednesday,6AM,8PM|Thursday,6AM,8PM|Friday,6AM,8PM|Saturday,6AM,8PM",NOT_RELEVANT
"{'Accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible restroom': False, 'Wheelchair accessible seating': False}, 'Amenities': {'Gender-neutral restroom': True}, 'Offerings': {'Repair services': True}, 'Parking': {'Paid street parking': True}, 'Payments': {'Credit cards': True}, 'Service options': {'Language assistance': 'English, French, Spanish', 'Online estimates': True, 'Onsite services': True}}","6923 8th Ave, Brooklyn, NY 11228",False,https://app.servicefusion.com/nationwideplumbing,OPERATIONAL,Plumber,16256705320638250231,Brooklyn,United States of America,US,Dyker Heights,,0x89c245459e4f18dd:0xe19b6b5b7ed87cf7,892a107730bffff,/g/1tfm7kk1,40.6298278,,,"https://www.google.com/maps/place/Nationwide+Plumbers/@40.6298278,-74.01524619999999,14z/data=!4m8!1m2!2m1!1sNationwide+Plumbers!3m4!1s0x89c245459e4f18dd:0xe19b6b5b7ed87cf7!8m2!3d40.6298278!4d-74.01524619999999","https://www.google.com/maps/place/Nationwide+Plumbers/@40.6298278,-74.01524619999999,13.99z/data=!4m16!1m7!3m6!1s0x89c245459e4f18dd:0xe19b6b5b7ed87cf7!2sNationwide+Plumbers!8m2!3d40.6298278!4d-74.01524619999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c245459e4f18dd:0xe19b6b5b7ed87cf7!8m2!3d40.6298278!4d-74.01524619999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-p4GCDdbLI0k/AAAAAAAAAAI/AAAAAAAAAAA/LikAddLj1iE/s44-p-k-no-ns-nd/photo.jpg,-74.01524619999999,,Nationwide Plumbers,Nationwide Plumbers,['https://app.servicefusion.com/nationwideplumbing'],,111956190246099232277,https://www.google.com/maps/contrib/111956190246099232277,Nationwide Plumbers,+1 917-905-4327,https://lh3.googleusercontent.com/p/AF1QipNZFyvhfVZaBmzaVkG3s91jdqVcyauN9QVXf3qn=w800-h500-k-no,256.0,ChIJ3RhPnkVFwokR93zYfltrm-E,,,11228.0,,,backflow repair New York NY USA,,4.8,,282.0,-2.1900387530713016e+18,https://search.google.com/local/reviews?placeid=ChIJ3RhPnkVFwokR93zYfltrm-E&q=*&authuser=0&hl=en&gl=US,"{'1': 9, '2': 1, '3': 0, '4': 9, '5': 263}",,New York,NY,6923 8th Ave,https://lh3.googleusercontent.com/p/AF1QipNZFyvhfVZaBmzaVkG3s91jdqVcyauN9QVXf3qn=w1600-h1000-k-no,"Plumber, Drainage service, Gas installation service",America/New_York,Plumber,,True,https://nationwideplumbers.com,"{'Friday': ['Open 24 hours'], 'Monday': ['Open 24 hours'], 'Saturday': ['Open 24 hours'], 'Sunday': ['Open 24 hours'], 'Thursday': ['Open 24 hours'], 'Tuesday': ['Open 24 hours'], 'Wednesday': ['Open 24 hours']}",,NOT_RELEVANT
"{'Accessibility': {'Wheelchair accessible restroom': True, 'Wheelchair accessible seating': True}, 'Amenities': {'Gender-neutral restroom': True}, 'Crowd': {'LGBTQ+ friendly': True, 'Transgender safespace': True}, 'Offerings': {'Repair services': True}, 'Other': {'LGBTQ+ friendly': True}, 'Payments': {'Credit cards': True}, 'Service options': {'Language assistance': 'English', 'Online estimates': True, 'Onsite services': True}}","1254 Utica Ave, Brooklyn, NY 11203",False,https://www.quixservice.com/book,OPERATIONAL,Plumber,16982427349769830433,Brooklyn,United States of America,US,East Flatbush,,0x89c245252d3bffff:0xebadb3b2a6e8c021,892a10760cbffff,/g/11f53qzykq,40.6417168,,,"https://www.google.com/maps/place/Quix+Plumbing+Service/@40.6417168,-73.9296904,14z/data=!4m8!1m2!2m1!1sQuix+Plumbing+Service!3m4!1s0x89c245252d3bffff:0xebadb3b2a6e8c021!8m2!3d40.6417168!4d-73.9296904","https://www.google.com/maps/place/Quix+Plumbing+Service/@40.6417168,-73.9296904,13.99z/data=!4m16!1m7!3m6!1s0x89c245252d3bffff:0xebadb3b2a6e8c021!2sQuix+Plumbing+Service!8m2!3d40.6417168!4d-73.9296904!16s%2Fg%2F11ckvg1dmb!3m7!1s0x89c245252d3bffff:0xebadb3b2a6e8c021!8m2!3d40.6417168!4d-73.9296904!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-FI1GLGaoqdc/AAAAAAAAAAI/AAAAAAAAAAA/aEBe3ekBxI0/s44-p-k-no-ns-nd/photo.jpg,-73.9296904,,Quix Plumbing Service,Quix Plumbing Service,"['https://www.quixservice.com/book', 'https://book.housecallpro.com/book/Quix-Plumbing-Service/f9fee5fe43644ab19edbf00b41585bb7?v2=true&lead_source=google&merchant_id=08919bfb-c004-4992-8bf0-f56e33a18d6f&rwg_token=AFd1xnFfTYdJ0xfurW9vlwQxoqaktXXxL3Ej8tCLM8nBnYJB4MYDeYRS7X8JA92BnR0aTcczqdewIkaPY4LBZBt7wLKt3knu_DoZ1mGAkHpglH8FYyiwoX0%3D']","[{'online_service_hours': {'Friday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours'}}]",105663787392012614030,https://www.google.com/maps/contrib/105663787392012614030,Quix Plumbing Service,+1 718-354-7315,https://lh3.googleusercontent.com/p/AF1QipM6GIOt6NNK2e7ATDJ0o34Pau47npnfE2zLOL-Z=w800-h500-k-no,245.0,ChIJ__87LSVFwokRIcDoprKzres,,,11203.0,,,backflow repair New York NY USA,,4.9,,730.0,-1.4643167239397212e+18,https://search.google.com/local/reviews?placeid=ChIJ__87LSVFwokRIcDoprKzres&q=*&authuser=0&hl=en&gl=US,"{'1': 15, '2': 2, '3': 4, '4': 18, '5': 691}",,New York,NY,1254 Utica Ave,https://lh3.googleusercontent.com/p/AF1QipM6GIOt6NNK2e7ATDJ0o34Pau47npnfE2zLOL-Z=w1600-h1000-k-no,"Plumber, Bathroom remodeler, Contractor, Drainage service, Gas installation service, Septic system service",America/New_York,Plumber,,True,https://quixservice.com,"{'Friday': ['9AM-2PM'], 'Monday': ['9AM-11PM'], 'Saturday': ['Closed'], 'Sunday': ['9AM-11PM'], 'Thursday': ['9AM-11PM'], 'Tuesday': ['9AM-11PM'], 'Wednesday': ['9AM-11PM']}","Sunday,9AM,11PM|Monday,9AM,11PM|Tuesday,9AM,11PM|Wednesday,9AM,11PM|Thursday,9AM,11PM|Friday,9AM,2PM",NOT_RELEVANT
