priority_tier,city,state,metro_or_region,notes
1,New York,NY,NYC,"Largest metro; high commercial density"
1,Los Angeles,CA,LA Metro,"Large metro; strong contractor market"
1,Chicago,IL,Chicago Metro,"Major commercial/industrial base"
1,Houston,TX,Houston Metro,"Fast growth; many facilities"
1,Phoenix,AZ,Phoenix Metro,"High suburban buildout"
1,Philadelphia,PA,Philly Metro,"Dense older plumbing infrastructure"
1,San Antonio,TX,San Antonio Metro,"Large population; steady demand"
1,San Diego,CA,San Diego Metro,"Commercial + municipal work"
1,Dallas,TX,Dallas-Fort Worth,"Large regional hub"
1,San Jose,CA,Bay Area,"Commercial + tech campuses"
1,Austin,TX,Austin Metro,"High growth; new construction"
1,Jacksonville,FL,Jacksonville Metro,"Large area; steady service demand"
1,Fort Worth,TX,Dallas-Fort Worth,"DFW coverage"
1,Columbus,OH,Columbus Metro,"Large city; steady commercial base"
1,Charlotte,NC,Charlotte Metro,"Growth + commercial"
1,San Francisco,CA,Bay Area,"Dense building stock"
1,Indianapolis,IN,Indy Metro,"Regional hub"
1,Seattle,WA,Seattle Metro,"Commercial + municipal"
1,Denver,CO,Denver Metro,"High growth; commercial"
1,Washington,DC,DC Metro,"Federal + commercial properties"
1,Boston,MA,Boston Metro,"Older buildings; compliance needs"
1,Nashville,TN,Nashville Metro,"Rapid growth"
1,El Paso,TX,El Paso Region,"Border hub"
1,Detroit,MI,Detroit Metro,"Industrial/commercial"
1,Oklahoma City,OK,OKC Metro,"Regional hub"
1,Portland,OR,Portland Metro,"Commercial + residential"
1,Las Vegas,NV,Las Vegas Metro,"Hospitality/commercial density"
1,Memphis,TN,Memphis Metro,"Logistics/warehousing"
1,Louisville,KY,Louisville Metro,"Logistics + commercial"
1,Baltimore,MD,Baltimore Metro,"Dense older stock"
1,Milwaukee,WI,Milwaukee Metro,"Industrial/commercial"
2,Albuquerque,NM,Albuquerque Metro,"State hub"
2,Tucson,AZ,Tucson Metro,"Large city coverage"
2,Fresno,CA,Central Valley,"Regional hub"
2,Sacramento,CA,Sacramento Metro,"State capital; steady commercial"
2,Mesa,AZ,Phoenix Metro,"Phoenix area expansion"
2,Kansas City,MO,KC Metro,"Bi-state metro"
2,Atlanta,GA,Atlanta Metro,"Major metro; strong demand"
2,Miami,FL,South Florida,"High-rise + commercial"
2,Tampa,FL,Tampa Bay,"Regional hub"
2,Orlando,FL,Orlando Metro,"Hospitality + growth"
2,St. Louis,MO,St. Louis Metro,"Older infrastructure"
2,Minneapolis,MN,Twin Cities,"Commercial + municipal"
2,St. Paul,MN,Twin Cities,"Metro coverage"
2,Cleveland,OH,Cleveland Metro,"Older building stock"
2,Cincinnati,OH,Cincinnati Metro,"Metro coverage"
2,Pittsburgh,PA,Pittsburgh Metro,"Older building stock"
2,Raleigh,NC,Raleigh-Durham,"Growth + commercial"
2,Durham,NC,Raleigh-Durham,"Metro coverage"
2,Greensboro,NC,Piedmont Triad,"Regional hub"
2,Richmond,VA,Richmond Metro,"State capital"
2,Virginia Beach,VA,Hampton Roads,"Large region"
2,Norfolk,VA,Hampton Roads,"Metro coverage"
2,New Orleans,LA,New Orleans Metro,"Older infrastructure"
2,Baton Rouge,LA,Baton Rouge Metro,"State hub"
2,Birmingham,AL,Birmingham Metro,"Regional hub"
2,Montgomery,AL,Montgomery Metro,"State capital"
2,Charleston,SC,Charleston Metro,"Growth + tourism"
2,Columbia,SC,Columbia Metro,"State capital"
2,Savannah,GA,Coastal GA,"Tourism + port"
2,Honolulu,HI,Oahu,"Island hub"
2,Anchorage,AK,Anchorage Region,"State hub"
2,Boise,ID,Boise Metro,"High growth"
2,Salt Lake City,UT,SLC Metro,"Regional hub"
2,Provo,UT,Utah County,"Growth corridor"
2,Reno,NV,Reno Metro,"Growth + logistics"
2,Spokane,WA,Spokane Metro,"Eastern WA hub"
2,Tacoma,WA,Seattle Metro,"Metro coverage"
2,Colorado Springs,CO,Front Range,"Large city"
2,Fort Collins,CO,Front Range,"Growth corridor"
2,Omaha,NE,Omaha Metro,"Regional hub"
2,Lincoln,NE,Lincoln Metro,"State capital"
2,Wichita,KS,Wichita Metro,"Large city"
2,Des Moines,IA,Des Moines Metro,"State hub"
2,Cedar Rapids,IA,Eastern IA,"Regional hub"
2,Madison,WI,Madison Metro,"State capital"
2,Green Bay,WI,NE Wisconsin,"Regional hub"
2,Grand Rapids,MI,West MI,"Regional hub"
2,Lansing,MI,Lansing Metro,"State capital"
2,Buffalo,NY,Western NY,"Regional hub"
2,Rochester,NY,Upstate NY,"Regional hub"
2,Syracuse,NY,Central NY,"Regional hub"
2,Newark,NJ,NYC Metro,"High density"
2,Jersey City,NJ,NYC Metro,"High density"
2,Paterson,NJ,NJ North,"Regional coverage"
2,Trenton,NJ,NJ Capital Region,"State capital"
2,Bridgeport,CT,Southern CT,"Near NYC; dense"
2,New Haven,CT,Central CT,"Regional hub"
2,Hartford,CT,Hartford Metro,"State capital"
2,Providence,RI,Providence Metro,"State hub"
2,Manchester,NH,Southern NH,"Largest NH city"
2,Portland,ME,Portland ME,"State hub"
2,Burlington,VT,Chittenden County,"Largest VT city"
2,Springfield,MA,Western MA,"Regional hub"
2,Worcester,MA,Central MA,"Large city"
2,Allentown,PA,Lehigh Valley,"Fast growth"
2,Harrisburg,PA,Capital Region,"State capital"
2,Erie,PA,Northwest PA,"Regional hub"
2,Wilmington,DE,Delaware,"State’s largest city"
2,Dover,DE,Delaware,"State capital"
2,Columbia,MD,Baltimore-Washington,"Commercial corridor"
2,Arlington,VA,DC Metro,"Dense commercial"
2,Alexandria,VA,DC Metro,"Metro coverage"
2,Newark,DE,Delaware,"University/region"
2,Albany,NY,Capital Region,"State capital"
3,Knoxville,TN,East TN,"Regional hub"
3,Chattanooga,TN,SE TN,"Regional hub"
3,Tulsa,OK,Tulsa Metro,"Large city"
3,Little Rock,AR,Little Rock Metro,"State hub"
3,Fayetteville,AR,NW Arkansas,"Growth area"
3,Jackson,MS,Jackson Metro,"State capital"
3,Billings,MT,Billings Region,"Largest MT city"
3,Missoula,MT,Western MT,"Regional hub"
3,Casper,WY,Wyoming,"Regional hub"
3,Cheyenne,WY,Wyoming,"State capital"
3,Sioux Falls,SD,Sioux Falls Metro,"Largest SD city"
3,Rapid City,SD,Black Hills,"Regional hub"
3,Fargo,ND,Fargo Metro,"Largest ND city"
3,Bismarck,ND,North Dakota,"State capital"
3,Topeka,KS,Kansas,"State capital"
3,Shreveport,LA,North Louisiana,"Regional hub"
3,Lafayette,LA,Acadiana,"Regional hub"
3,Mobile,AL,Gulf Coast,"Regional hub"
3,Huntsville,AL,Northern AL,"Fast growth"
3,Augusta,GA,CSRA,"Regional hub"
3,Macon,GA,Central GA,"Regional hub"
3,Tallahassee,FL,North Florida,"State capital"
3,Fort Lauderdale,FL,South Florida,"Dense metro"
3,West Palm Beach,FL,South Florida,"Metro coverage"
3,St. Petersburg,FL,Tampa Bay,"Metro coverage"
3,Sarasota,FL,Gulf Coast,"Growing market"
3,Daytona Beach,FL,Central FL,"Regional hub"
3,Santa Rosa,CA,North Bay,"Bay Area spillover"
3,Oakland,CA,Bay Area,"Dense commercial"
3,Long Beach,CA,LA Metro,"Metro coverage"
3,Anaheim,CA,Orange County,"High commercial"
3,Bakersfield,CA,Central Valley,"Regional hub"
3,Stockton,CA,Central Valley,"Regional hub"
3,Modesto,CA,Central Valley,"Regional hub"
3,Santa Clarita,CA,LA Metro,"Metro coverage"
3,Riverside,CA,Inland Empire,"Growth corridor"
3,San Bernardino,CA,Inland Empire,"Metro coverage"
3,Irvine,CA,Orange County,"Commercial campuses"
3,Oxnard,CA,Ventura County,"Regional hub"
3,Santa Barbara,CA,Central Coast,"Regional hub"
3,Salinas,CA,Monterey County,"Regional hub"
3,Santa Cruz,CA,Central Coast,"Regional hub"
3,Eugene,OR,Willamette Valley,"Regional hub"
3,Salem,OR,Oregon,"State capital"
3,Vancouver,WA,Portland Metro,"Metro coverage"
3,Helena,MT,Montana,"State capital"
3,Idaho Falls,ID,Eastern ID,"Regional hub"
3,Pocatello,ID,Eastern ID,"Regional hub"
