place_id,google_id,name,phone,website,address,city,state_code,postal_code,latitude,longitude,type,subtypes,category,rating,reviews,backflow_score,tier,best_evidence_url,location_link,reviews_link,image_urls,provider_slug,city_slug,state_slug
ChIJW-C11KnpwIcRCwflXvDvFL8,0x87c0e9a9d4b5e05b:0xbf14eff05ee5070b,"A.B. May Heating, A/C, Plumbing & Electrical",+1 816-413-1782,https://abmay.com,"7100 E 50th St, Kansas City, MO 64129",Kansas City,MO,64129.0,39.0337696,-94.5017203,HVAC contractor,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Appliance repair service, Drainage service, Electric vehicle charging station contractor, Electrician, Furnace repair service, Heating contractor, Plumber",HVAC contractor,4.8,18895,7,testing,https://abmay.com,"https://www.google.com/maps/place/A.B.+May+Heating%2C+A%2FC%2C+Plumbing+%26+Electrical/@39.0337696,-94.5017203,14z/data=!4m8!1m2!2m1!1sA.B.+May+Heating%2C+A%2FC%2C+Plumbing+%26+Electrical!3m4!1s0x87c0e9a9d4b5e05b:0xbf14eff05ee5070b!8m2!3d39.0337696!4d-94.5017203",https://search.google.com/local/reviews?placeid=ChIJW-C11KnpwIcRCwflXvDvFL8&q=*&authuser=0&hl=en&gl=US,"[""https://abmay.com/wp-content/themes/bc-ab-may/img/abmay.jpg"", ""https://abmay.com/wp-content/themes/bc-ab-may/img/review-img.png"", ""https://abmay.com/wp-content/themes/bc-ab-may/img/review-img@2x.png""]",ab-may-heating-ac-plumbing-electrical-kansas-city-mo,kansas-city,mo
ChIJkTGbxfOUwIcRtDQO4-AcFFQ,0x87c094f3c59b3191:0x54141ce0e30e34b4,"Anthony Plumbing, Heating, Cooling & Electric",+1 913-322-6011,https://anthonyphc.com,"15203 W 99th St, Lenexa, KS 66219",Lenexa,KS,66219.0,38.9486164,-94.7620538,Plumber,"Plumber, Air conditioning contractor, Air duct cleaning service, Drainage service, Electrician, Furnace repair service, HVAC contractor, Heating contractor",Heating contractor,4.9,18797,7,testing,https://anthonyphc.com,"https://www.google.com/maps/place/Anthony+Plumbing%2C+Heating%2C+Cooling+%26+Electric/@38.9486164,-94.76205379999999,14z/data=!4m8!1m2!2m1!1sAnthony+Plumbing%2C+Heating%2C+Cooling+%26+Electric!3m4!1s0x87c094f3c59b3191:0x54141ce0e30e34b4!8m2!3d38.9486164!4d-94.76205379999999",https://search.google.com/local/reviews?placeid=ChIJkTGbxfOUwIcRtDQO4-AcFFQ&q=*&authuser=0&hl=en&gl=US,"[""https://anthonyphc.com/wp-content/uploads/2025/09/anthony-new-hero.webp""]",anthony-plumbing-heating-cooling-electric-lenexa-ks,lenexa,ks
ChIJ87KmDeiyQYgRq8Mxz5Rpb9A,0x8841b2e80da6b2f3:0xd06f6994cf31c3ab,Apollo Home,+1 513-223-3957,https://apollohome.com/service-area/ohio/cincinnati,"4538 Camberwell Rd, Cincinnati, OH 45209",Cincinnati,OH,45209.0,39.1592516,-84.4168728,Plumber,"Plumber, Air conditioning contractor, Electrician, Heating contractor, HVAC contractor",HVAC contractor,4.9,15593,3,service,https://apollohome.com/service-area/ohio/cincinnati,"https://www.google.com/maps/place/Apollo+Home/@39.1592516,-84.4168728,14z/data=!4m8!1m2!2m1!1sApollo+Home!3m4!1s0x8841b2e80da6b2f3:0xd06f6994cf31c3ab!8m2!3d39.1592516!4d-84.4168728",https://search.google.com/local/reviews?placeid=ChIJ87KmDeiyQYgRq8Mxz5Rpb9A&q=*&authuser=0&hl=en&gl=US,[],apollo-home-cincinnati-oh,cincinnati,oh
ChIJH98mmVHrwIcR7sk0nz05SY0,0x87c0eb519926df1f:0x8d49393d9f34c9ee,"Hamilton Plumbing, Heating, A/C & Rooter",+1 913-243-3961,https://callhamilton.com/locations/overland-park,"8155 Lenexa Dr, Overland Park, KS 66214",Overland Park,KS,66214.0,38.980065499999995,-94.7066576,Plumber,"Plumber, Air conditioning contractor, Air conditioning repair service, Drainage service, Electrician, Furnace repair service, Heating contractor, HVAC contractor",Plumber,4.7,11988,3,service,https://callhamilton.com/locations/overland-park,"https://www.google.com/maps/place/Hamilton+Plumbing%2C+Heating%2C+A%2FC+%26+Rooter/@38.980065499999995,-94.7066576,14z/data=!4m8!1m2!2m1!1sHamilton+Plumbing%2C+Heating%2C+A%2FC+%26+Rooter!3m4!1s0x87c0eb519926df1f:0x8d49393d9f34c9ee!8m2!3d38.980065499999995!4d-94.7066576",https://search.google.com/local/reviews?placeid=ChIJH98mmVHrwIcR7sk0nz05SY0&q=*&authuser=0&hl=en&gl=US,"[""https://lh3.googleusercontent.com/p/AF1QipNHv66O02uIU1phl6Fd3_HHCU381zfAyFyW4Ivw=w800-h500-k-no""]",hamilton-plumbing-heating-ac-rooter-overland-park-ks,overland-park,ks
ChIJoRYwb6YWsYkRgdZZIYMmspM,0x89b116a66f3016a1:0x93b226832159d681,Woodfin - Your Home Team,+1 804-630-0981,https://askwoodfin.com,"1823 N Hamilton St, Richmond, VA 23230",Richmond,VA,23230.0,37.5712024,-77.4774466,HVAC contractor,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Heating contractor",HVAC contractor,4.9,10884,7,testing,https://askwoodfin.com,"https://www.google.com/maps/place/Woodfin+-+Your+Home+Team/@37.5712024,-77.4774466,14z/data=!4m8!1m2!2m1!1sWoodfin+-+Your+Home+Team!3m4!1s0x89b116a66f3016a1:0x93b226832159d681!8m2!3d37.5712024!4d-77.4774466",https://search.google.com/local/reviews?placeid=ChIJoRYwb6YWsYkRgdZZIYMmspM&q=*&authuser=0&hl=en&gl=US,"[""https://askwoodfin.com/assets/mainstage/mainstage-bg.2501241317550.jpg""]",woodfin-your-home-team-richmond-va,richmond,va
ChIJLXSWJmMMaYgRtkeYbaXjB7g,0x88690c632696742d:0xb807e3a56d9847b6,Dauenhauer Plumbing Heating Air & Electric,+1 502-219-3297,https://dauenhauerplumbing.com/service-areas/louisville,"3416 Robards Ct, Louisville, KY 40218",Louisville,KY,40218.0,38.1918707,-85.6948152,Plumber,"Plumber, Air conditioning contractor, Electrician, Heating contractor, HVAC contractor",HVAC contractor,4.8,8577,7,testing,https://dauenhauerplumbing.com/service-areas/louisville,"https://www.google.com/maps/place/Dauenhauer+Plumbing+Heating+Air+%26+Electric/@38.191870699999996,-85.6948152,14z/data=!4m8!1m2!2m1!1sDauenhauer+Plumbing+Heating+Air+%26+Electric!3m4!1s0x88690c632696742d:0xb807e3a56d9847b6!8m2!3d38.191870699999996!4d-85.6948152",https://search.google.com/local/reviews?placeid=ChIJLXSWJmMMaYgRtkeYbaXjB7g&q=*&authuser=0&hl=en&gl=US,[],dauenhauer-plumbing-heating-air-electric-louisville-ky,louisville,ky
ChIJLfp446jiFYgR2U2xUZLOY_o,0x8815e2a8e378fa2d:0xfa63ce9251b14dd9,Home Comfort Experts,+1 260-201-2922,https://homecomfortexpertsinc.com,"919 Production Rd, Fort Wayne, IN 46808",Fort Wayne,IN,46808.0,41.1209273,-85.155147,Plumber,"Plumber, Air conditioning contractor, Air duct cleaning service, Electrician, Heating contractor, HVAC contractor",HVAC contractor,4.9,8381,3,service,https://www.homecomfortexpertsinc.com/plumbing/backflow-preventer/,"https://www.google.com/maps/place/Home+Comfort+Experts/@41.1209273,-85.155147,14z/data=!4m8!1m2!2m1!1sHome+Comfort+Experts!3m4!1s0x8815e2a8e378fa2d:0xfa63ce9251b14dd9!8m2!3d41.1209273!4d-85.155147",https://search.google.com/local/reviews?placeid=ChIJLfp446jiFYgR2U2xUZLOY_o&q=*&authuser=0&hl=en&gl=US,"[""https://www.homecomfortexpertsinc.com/wp-content/uploads/2024/03/Frame-220.webp""]",home-comfort-experts-fort-wayne-in,fort-wayne,in
ChIJ_W3snYaJUocRbcjDOHuIZAc,0x875289869dec6dfd:0x764887b38c3c86d,"Scott Hale Plumbing, Drains, Heating & Air",+1 801-312-9038,https://scotthale.com/service-areas/salt-lake-city,"5490 S Riley Ln, Murray, UT 84107",Murray,UT,84107.0,40.650527,-111.8965259,Plumber,"Plumber, Air conditioning contractor, Air conditioning repair service, Air duct cleaning service, Drainage service, Electrician, Furnace repair service, Heating contractor, HVAC contractor",HVAC contractor,4.8,6873,3,service,https://scotthale.com/service-areas/salt-lake-city,"https://www.google.com/maps/place/Scott+Hale+Plumbing%2C+Drains%2C+Heating+%26+Air/@40.650527,-111.8965259,14z/data=!4m8!1m2!2m1!1sScott+Hale+Plumbing%2C+Drains%2C+Heating+%26+Air!3m4!1s0x875289869dec6dfd:0x764887b38c3c86d!8m2!3d40.650527!4d-111.8965259",https://search.google.com/local/reviews?placeid=ChIJ_W3snYaJUocRbcjDOHuIZAc&q=*&authuser=0&hl=en&gl=US,"[""https://scotthale.com/wp-content/uploads/2024/07/sh-plumbing-1024x718.jpg"", ""https://scotthale.com/wp-content/uploads/2024/07/sh-plumbing-300x210.jpg"", ""https://scotthale.com/wp-content/uploads/2024/07/sh-plumbing-768x538.jpg""]",scott-hale-plumbing-drains-heating-air-murray-ut,murray,ut
ChIJybUzVwcD9ocRKzQuTLZaJA4,0x87f603075733b5c9:0xe245ab64c2e342b,Paul Bunyan Plumbing & Drains,+1 612-340-1444,https://paulbunyanplumbing.com,"5718 International Pkwy, New Hope, MN 55428",New Hope,MN,55428.0,45.0573926,-93.3954096,Plumber,"Plumber, Drainage service, Repair service",Plumber,4.9,6652,7,testing,https://paulbunyanplumbing.com,"https://www.google.com/maps/place/Paul+Bunyan+Plumbing+%26+Drains/@45.0573926,-93.3954096,14z/data=!4m8!1m2!2m1!1sPaul+Bunyan+Plumbing+%26+Drains!3m4!1s0x87f603075733b5c9:0xe245ab64c2e342b!8m2!3d45.0573926!4d-93.3954096",https://search.google.com/local/reviews?placeid=ChIJybUzVwcD9ocRKzQuTLZaJA4&q=*&authuser=0&hl=en&gl=US,"[""https://paulbunyanplumbing.com/wp-content/uploads/2023/11/homepage-bg.jpg""]",paul-bunyan-plumbing-drains-new-hope-mn,new-hope,mn
ChIJq0N5Lhq7JoYRVXUWtZmIez0,0x8626bb1a2e7943ab:0x3d7b8899b5167555,AccuTemp Services,+1 225-230-9200,https://accutempbr.com,"2600 Government St, Baton Rouge, LA 70806",Baton Rouge,LA,70806.0,30.4438219,-91.1612664,HVAC contractor,HVAC contractor,HVAC contractor,4.9,6676,3,service,https://accutempbr.com,"https://www.google.com/maps/place/AccuTemp+Services/@30.4438219,-91.1612664,14z/data=!4m8!1m2!2m1!1sAccuTemp+Services!3m4!1s0x8626bb1a2e7943ab:0x3d7b8899b5167555!8m2!3d30.4438219!4d-91.1612664",https://search.google.com/local/reviews?placeid=ChIJq0N5Lhq7JoYRVXUWtZmIez0&q=*&authuser=0&hl=en&gl=US,[],accutemp-services-baton-rouge-la,baton-rouge,la
ChIJZ5yRGEdEQogR3sPOgMEmx_s,0x8842444718919c67:0xfbc726c180cec3de,Fayette Heating & Air,+1 859-279-1065,https://fayetteheating.com/locations/central-kentucky,"817 Nandino Blvd, Lexington, KY 40511",Lexington,KY,40511.0,38.0801582,-84.4946446,HVAC contractor,HVAC contractor,HVAC contractor,4.8,6647,9,testing,https://fayetteheating.com/locations/central-kentucky,"https://www.google.com/maps/place/Fayette+Heating+%26+Air/@38.0801582,-84.4946446,14z/data=!4m8!1m2!2m1!1sFayette+Heating+%26+Air!3m4!1s0x8842444718919c67:0xfbc726c180cec3de!8m2!3d38.0801582!4d-84.4946446",https://search.google.com/local/reviews?placeid=ChIJZ5yRGEdEQogR3sPOgMEmx_s&q=*&authuser=0&hl=en&gl=US,"[""https://fayetteheating.com/wp-content/uploads/2023/06/CA-resized-copy-1024x683.jpg"", ""https://fayetteheating.com/wp-content/uploads/2023/06/CA-resized-copy-300x200.jpg"", ""https://fayetteheating.com/wp-content/uploads/2023/06/CA-resized-copy-768x512.jpg""]",fayette-heating-air-lexington-ky,lexington,ky
ChIJnSJz_gDPJIgR3kSGJMCC4G4,0x8824cf00fe73229d:0x6ee082c0248644de,"Cregger Plumbing, Heating & Cooling",+1 248-266-4888,https://creggerplumbing.com,"2335 Goodrich St, Ferndale, MI 48220",Ferndale,MI,48220.0,42.465644999999995,-83.12473609999999,Plumber,"Plumber, Air conditioning contractor, Air conditioning repair service, Heating contractor, HVAC contractor",HVAC contractor,4.9,6436,9,testing,https://creggerplumbing.com,"https://www.google.com/maps/place/Cregger+Plumbing%2C+Heating+%26+Cooling/@42.465644999999995,-83.12473609999999,14z/data=!4m8!1m2!2m1!1sCregger+Plumbing%2C+Heating+%26+Cooling!3m4!1s0x8824cf00fe73229d:0x6ee082c0248644de!8m2!3d42.465644999999995!4d-83.12473609999999",https://search.google.com/local/reviews?placeid=ChIJnSJz_gDPJIgR3kSGJMCC4G4&q=*&authuser=0&hl=en&gl=US,"[""https://www.creggerplumbing.com/wp-content/webp-express/webp-images/uploads/2025/09/11338_Cregger_Horizontal_Outline_OnWhite_PANTONE-1.png.webp"", ""https://www.creggerplumbing.com/wp-content/uploads/2025/09/cregger-home-image.webp"", ""https://www.creggerplumbing.com/wp-content/uploads/2025/09/cregger-home-image-300x169.webp""]",cregger-plumbing-heating-cooling-ferndale-mi,ferndale,mi
